店名,捷運線,捷運站,營業類型,是否連鎖,行政區,營業時間,電話,地址,官網
麵屋輝,"中和新蘆線,松山新店線",松江南京站,日本店來台展店,Yes,中山,"11:30 - 14:30, 17:30 - 21:30",,台北市中山區伊通街8-1號,https://www.facebook.com/teru.taipei/
匠麵殿,"中和新蘆線,淡水信義線",東門站,台灣人開店,,中正,"11:00–14:00, 17:00–21:00",02 3322 6292,台北市中正區金山南路二段7號,https://www.facebook.com/jiangmiandian/
樂麵屋-永康公園店,"中和新蘆線,淡水信義線",東門站,台灣至日本展店,Yes,大安,11:30-22:00 點餐到21:40,02-2327-8007,台北市大安區永康街10巷3號,http://rakumenya.com.tw/home.php
樂麵屋-永康店,"中和新蘆線,淡水信義線",東門站,台灣至日本展店,Yes,大安,11:30-22:00 點餐到21:40,02-2395-1787,台北市大安區永康街10巷7號,http://rakumenya.com.tw/home.php
樂麵屋-忠孝店,,忠孝敦化站,台灣至日本展店,,,11:30-22:00 點餐到21:40,02-8772-8159,"台北市大安區忠孝東路四段216巷32弄11號
(明曜百貨後面第二條巷子)",http://rakumenya.com.tw/home.php
樂麵屋-板橋店,,板橋站,台灣至日本展店,,,11:00-21:30 點餐到21:00,02-8969-1757,"新北市板橋區縣民大道二段B1
(捷運板橋3A出口/環球購物中心B1)",http://rakumenya.com.tw/home.php
麵屋黑平(熱烈一番亭-永康店),"中和新蘆線,淡水信義線",東門站,日本店來台展店,Yes,大安,11:00~22:00,(02)2397-0787,台北市大安區永康街10-3號,http://www.ichiban-ramen.com.tw/
玫瑰緣別館-大直店,文湖線,大直站,台灣人開店,Yes,中山,11AM-10PM,02-2533-1877,台北市中山區北安路621巷12號(近捷運大直站１號出口),http://oisiiyo.500.com.tw/
勝拉麵,文湖線,大直站,台灣人開店,,中山,"11:30AM–2PM, 5–8PM；週三休",02 8509 7138,台北市中山區北安路621巷46號,https://www.facebook.com/Chinmen/
喜樂製麵,文湖線,大直站,台灣人開店,,中山,11AM-10PM,02 2532 1720,台北市中山區北安路621巷31號,https://www.facebook.com/pages/%E5%96%9C%E6%A8%82%E8%A3%BD%E9%BA%B5/280759948789912
Mister Donut二代店-復北門市,文湖線,中山國中站,台灣人開店,Yes,中山,7AM-22PM,(02)2518-1625,台北市中山區復興北路400號,http://www.misterdonut.com.tw/index.html
赤滝拉麵,文湖線,中山國中站,台灣人開店,,中山,"11AM–2:30PM, 5–9PM",02-2501 0218,台北市中山區錦州街394號,https://www.facebook.com/%E8%B5%A4%E6%BB%9D%E6%8B%89%E9%BA%B5-431629293599738/
來來軒日式拉麵,文湖線,中山國中站,台灣人開店,,松山,"12:00-14:00
18:00-21:00;週二日休",02-25148819,台北市松山區民生東路3段130巷18弄15號,https://www.facebook.com/pages/%E4%BE%86%E4%BE%86%E8%BB%92%E6%9B%B0%E5%BC%8F%E6%8B%89%E9%BA%B5%E5%BA%97/149989238399247
拉麵-合江街,文湖線,中山國中站,台灣人開店,,中山,11am-8pm,02-25036781,台北市中山區合江街148號1F,
海力士日式料理-錦州店,文湖線,中山國中站,台灣人開店,Yes,中山,"11:00–14:30, 17:00–21:30；六日11am-21:30pm",02-2509 8538,台北市中山區錦州街398號,https://www.facebook.com/pages/%E6%B5%B7%E5%8A%9B%E5%A3%AB%E9%8C%A6%E5%B7%9E%E5%BA%97/514585648691622
 山本堂日式拉麵鍋-內湖店,文湖線,內湖站,台灣人開店,Yes,內湖,"11:00–14:00, 17:30–22:00",02-2790 0697,台北市內湖區成功路四段128巷6弄51號,
大志軒ラーメン,文湖線,六張犁站,日本人來台開店,,信義,"11:30 - 14:30, 17:30 - 21:30；週二休",02-2737 2569,台北市信義區嘉興街216巷11號,https://www.facebook.com/TAISHIKENRAMEN/
拉麵Japan-二店,文湖線,六張犁站,日本人來台開店,Yes,信義,"11:30–14:00, 17:00–21:00",02-8732 6990,台北市信義區和平東路三段251號,https://www.google.com.tw/url?sa=t&rct=j&q=&esrc=s&source=web&cd=3&cad=rja&uact=8&ved=0ahUKEwifsIbv06_UAhWMW7wKHVrcCBgQFghFMAI&url=https%3A%2F%2Fzh-tw.facebook.com%2Fpages%2F%25E6%258B%2589%25E9%25BA%25B5Japan%2F212763792127676&usg=AFQjCNH2TLHiZk3YAcavAl5Yq21Zq5Gjpw
武恒拉麵,文湖線,六張犁站,台灣人開店,,信義,缺,缺,台北市信義區信安街,缺
北一家,文湖線,文德站,日本人來台開店,,內湖,"17:30–20:30, 週日休, 只有晚上營業",02-2658 2968,台北市內湖區文德路22巷27弄3號,https://www.facebook.com/%E5%8C%97%E4%B8%80%E5%AE%B6%E6%8B%89%E9%BA%B5-1695476814001861/
一番星拉麵(原101拉麵部),文湖線,西湖站,日本人來台開店,,內湖,"11:30–14:30, 17:30–19:30, 六一休,日晚上休",缺,台北市內湖區內湖路一段283-5號2F,https://zh-tw.facebook.com/efanxing/
福岡屋拉麵,文湖線,西湖站,台灣人開店,,內湖,"11:15–14:00, 17:15–21:00, 週日休",02-8797 2595,台北市內湖區內湖路一段323巷6號,https://zh-tw.facebook.com/%E7%A6%8F%E5%B2%A1%E5%B1%8B%E6%8B%89%E9%BA%B5-112627512144848/
銀城日式拉麵-內湖店,文湖線,西湖站,台灣人開店,Yes,內湖,缺,缺,台北市內湖區瑞光路517號,https://www.facebook.com/pages/%E9%8A%80%E5%9F%8E%E6%97%A5%E5%BC%8F%E6%8B%89%E9%BA%B5/301790019837095
樂禾田拉麵,文湖線,東湖站,台灣人開店,,內湖,"11:30–14:00, 17:00–20:30, 週二休",02-2632 1599,台北市內湖區康寧路三段189巷12弄12號,https://zh-tw.facebook.com/lohoten/
小川拉麵專門店,文湖線,科技大樓站,日本店來台展店,,大安,"11:30–14:30, 17:30–21:30, 週一休",缺,台北市大安區復興南路二段190號,https://zh-tw.facebook.com/ogawaramenTW/
壽賀喜屋-木柵動物園店,文湖線,動物園站,日本店來台展店,Yes,文山,09:00–17:00,02-86619251,台北市文山區新光路二段30號(非洲河馬區),https://www.sugakiya.com.tw/
KAKU日式拉麵,文湖線,港墘站,台灣人開店,,內湖,"11:00–14:00, 17:00–21:00, 週日休",0961-582 560,台北市內湖區內湖路一段591巷10弄2號之3,https://zh-tw.facebook.com/KAKUlamian/
一前一町拉麵,文湖線,港墘站,台灣人開店,,內湖,"缺,週日休",02-2656 1658,台北市內湖區內湖路一段437巷4弄9號,https://www.facebook.com/pages/%E4%B8%80%E5%89%8D%E4%B8%80%E7%94%BA/429838853866293
三田拉麵,文湖線,港墘站,台灣人開店,,內湖,"00:00–21:00, 23:30–00:00",02-2798 7061,台北市內湖區港墘路98號,https://www.facebook.com/mitaramen/
武藤拉麵,文湖線,港墘站,日本人來台開店,,內湖,"11:30–14:00, 17:30–20:00",02-2659 6139,台北市內湖區江南街81號,https://www.facebook.com/MutoJapan/
轉角關東煮かどおでん,文湖線,港墘站,台灣人開店,,內湖,11:00-14:30、16:30-20:30,02-8751 9987,台北市內湖區港墘路82巷9號,https://www.facebook.com/%E8%BD%89%E8%A7%92%E9%97%9C%E6%9D%B1%E7%85%AE%E3%81%8B%E3%81%A9%E3%81%8A%E3%81%A7%E3%82%93-261765327195006/
龍丼亭 日式拉麵丼飯,文湖線,萬芳醫院站,台灣人開店,,文山,"11am–3pm, 5–9pm;週一~2:45pm, 4:30–9pm",02-2932 9455,台北市文山區興隆路三段36巷10號,https://zh-tw.facebook.com/LDTGOOD/
博多拉麵-成功店,文湖線,葫洲站,台灣人開店,Yes,內湖,"11:30AM–2:30PM, 5–9PM",02-2630 6587,台北市內湖區成功路五段75號,https://zh-tw.facebook.com/hakata.ramennoodles/
Nagi豚王拉麵-大直店,文湖線,劍南路站,日本店來台展店,Yes,中山,日~四11:30~21:30；五六~22:00,02-8501-5300,台北市中山區樂群三路301號2樓,http://n-nagi.event2.tw/
太陽番茄拉麵-美麗華店,文湖線,劍南路站,日本店來台展店,Yes,中山,11AM–10PM,02-8502 7908,台北市中山區敬業三路20號本館B1,https://zh-tw.facebook.com/taiyotomato3/
居食屋「和民」-美麗華店,文湖線,劍南路站,日本店來台展店,Yes,中山,,,台北市中山區敬業三路20號3F,
東京王子日式拉麵專賣-美麗華店,文湖線,劍南路站,台灣人開店,Yes,中山,,,台北市中山區敬業三路20號B1,
三友拉麵-慶城店,"文湖線,松山新店線",南京復興站,台灣人開店,Yes,中山,,,台北市中山區慶城街26-1號,
長壽三好庵,"文湖線,松山新店線",南京復興站,日本人來台開店,,松山,,,台北市松山區南京東路三段256巷20弄1號,
Mr. 拉麵-公館店,松山新店線,公館站,日本人來台開店,Yes,中正,,,台北市中正區羅斯福路三段284巷11號,
十二巷拉麵,松山新店線,公館站,台灣人開店,,大安,,,台北市大安區羅斯福路四段12巷1號,
京阪豚骨拉麵,松山新店線,公館站,台灣人開店,,中正,,,台北市中正區羅斯福路四段136巷6弄6號,
京都拉麵,松山新店線,公館站,台灣人開店,Yes,中正,,,台北市中正區羅斯福路三段316巷8弄4號,
極麵屋,松山新店線,公館站,台灣人開店,,中正,,,台北市中正區羅斯福路四段136巷6弄2號,
頑固石板燒/拉麵,松山新店線,公館站,台灣人開店,,中正,,,台北市中正區羅斯福路三段316巷8弄3-3號,
福亭拉麵御膳,松山新店線,公館站,台灣人開店,,大安,,,台北市大安區新生南路三段96-4號,
麵之彩日式拉麵專賣店,松山新店線,公館站,台灣人開店,,大安,,,台北市大安區新生南路三段56巷8號,
鷹流東京豚骨拉麵-極匠gokujoh,松山新店線,公館站,日本店來台展店,Yes,中正,,,台北市中正區汀洲路三段104巷4號,
Tonkotsu 7,松山新店線,台北小巨蛋站,日本店來台展店,Yes,松山,,,台北市松山區南京東路三段337號4F,
麵屋一本槍-微風南京店,松山新店線,台北小巨蛋站,台灣人開店,,松山,,,台北市松山區南京東路三段337號4F,
七笑手作拉麵,松山新店線,台電大樓站,台灣人開店,,大安,,,台北市大安區師大路49巷1號,
麵屋元,松山新店線,台電大樓站,台灣人開店,,大安,,,台北市大安區泰順街16巷41號,
麵屋海拉麵,松山新店線,台電大樓站,台灣人開店,,大安,,,台北市大安區浦城街59號,
花月嵐-松山車站店,松山新店線,松山站,日本店來台展店,Yes,松山,,,台北市松山區松山路11號2樓,
九湯屋日式拉麵-松山店,松山新店線,南京三民站,台灣人開店,Yes,松山,,,台北市松山區南京東路五段250巷1之1號,
日式拉麵,松山新店線,南京三民站,台灣人開店,,松山,,,台北市松山區南京東路五段123巷6弄1,
王將拉麵,松山新店線,南京三民站,台灣人開店,,松山,,,台北市松山區南京東路五段291巷2號,
王將拉麵,松山新店線,南京三民站,台灣人開店,,松山,,,台北市松山區南京東路四段133巷4弄5號,
銀城日式拉麵-京華城,松山新店線,南京三民站,台灣人開店,,,,02-37621888,台北市松山區八德路四段138號,
麵屋真登,松山新店線,南京三民站,日本店來台展店,,松山,,,台北市松山區南京東路五段250巷11-2號,
九湯屋日式拉麵-文山店,松山新店線,景美站,台灣人開店,Yes,文山,,,台北市文山區景美街141號,
元榮小食堂(SUSHI元榮)	,松山新店線,萬隆站,台灣人開店,,文山,,,台北市文山區興隆路一段281號,
碗宴,"松山新店線,文湖線",南京復興站,台灣人開店,,松山,,,台北市松山區南京東路三段262號,
Ramen Hero,板南線,市政府站,日本店來台展店,Yes,信義,,,台北市信義區忠孝東路五段68號4F,
一風堂-新光三越店,板南線,市政府站,日本店來台展店,Yes,信義,,,台北市信義區松高路12號B1,
三本拉麵-二店,板南線,市政府站,台灣人開店,Yes,信義,,,台北市信義區松仁路28號B2,
太陽蕃茄拉麵-信義誠品店,板南線,市政府站,日本店來台展店,Yes,信義,,,台北市信義區松高路11號B2,
屯京拉麵-新光三越店,板南線,市政府站,日本店來台展店,Yes,信義,,,台北市信義區松高路12號B2,
玩笑亭-ATT店,板南線,市政府站,日本店來台展店,Yes,信義,,,台北市信義區松壽路12號4F,
玫瑰緣別館-市府店,板南線,市政府站,台灣人開店,Yes,信義,,,台北市信義區忠孝東路五段1號,
花月嵐-阪急台北店,板南線,市政府站,日本店來台展店,Yes,信義,,,台北市信義區忠孝東路五段8號B2,
花月嵐-信義威秀店,板南線,市政府站,日本店來台展店,Yes,信義,,,台北市信義區松壽路20號2F,
海力士日式料理-市府店	,板南線,市政府站,台灣人開店,Yes,信義,,,台北市信義區忠孝東路五段177號,
豚骨一燈,板南線,市政府站,日本店來台展店,Yes,信義,,,台北市信義區忠孝東路五段8號B2,
麵屋武藏 虎洞,板南線,市政府站,日本店來台展店,Yes,信義,,,台北市信義區松高路16號B2,
麵家三士-ATT信義店,板南線,市政府站,日本店來台展店,Yes,信義,,,台北市信義區松壽路12號5F,
高烈堂,板南線,永春站,台灣人開店,Yes,信義,,,台北市信義區忠孝東路五段492巷12號,
山嵐拉麵,板南線,忠孝復興站,日本店來台展店,,大安,,,台北市大安區大安路一段51巷29號,
Nagi豚王拉麵-仁愛店,板南線,忠孝敦化站,日本店來台展店,Yes,大安,,,台北市大安區仁愛路四段109號,
太陽番茄拉麵-忠孝店,板南線,忠孝敦化站,日本店來台展店,Yes,大安,,,台北市大安區忠孝東路四段216巷27弄8號,
屯京拉麵-忠孝敦化店,板南線,忠孝敦化站,日本店來台展店,Yes,大安,,,台北市大安區敦化南路一段187巷36號,
抹茶館 Maccha House,板南線,忠孝敦化站,台灣人開店,,大安,,,台北市大安區敦化南路一段187巷38號,
東京油組総本店,板南線,忠孝敦化站,日本店來台展店,,大安,,,台北市大安區敦化南路一段236巷5號,
東京高田馬場鷹流拉麵,板南線,忠孝敦化站,日本店來台展店,Yes,大安,,,台北市大安區忠孝東路四段216巷27弄14號,
花月嵐-誠品敦南店,板南線,忠孝敦化站,日本店來台展店,Yes,大安,,,台北市大安區敦化南路一段245號B1,
樂麵屋-忠孝店,板南線,忠孝敦化站,台灣至日本展店,Yes,大安,,,台北市大安區忠孝東路四段216巷32弄11號,
熱烈一番亭-光復店,板南線,忠孝敦化站,日本店來台展店,Yes,大安,,,台北市大安區光復南路280巷26號,
麵屋武藏 虎嘯,板南線,忠孝敦化站,日本店來台展店,Yes,大安,,,台北市大安區忠孝東路四段216巷11弄4號,
鐵丸十三堂,板南線,昆陽站,台灣人開店,,南港,,,台北市南港區昆陽街140巷8號,
三田製麵所-南港店,板南線,南港站,日本人來台開店,Yes,南港,,,台北市南港區忠孝東路七段371號B1,
四川辣麵-南港店,板南線,南港站,日本店來台展店,Yes,南港,,,台北市南港區忠孝東路七段369號8樓,
津輕拉麵-南港店,板南線,南港站,日本人來台開店,Yes,南港,,,台北市南港區忠孝東路七段371號B1,
長崎冠軍麵,板南線,南港軟體園區站,日本店來台展店,,南港,,,台北市南港區經貿二路166號3樓,
お帰りokaeri,板南線,國父紀念館站,台灣人開店,,大安,,,台北市大安區延吉街60號,
札幌炎神拉麵,板南線,國父紀念館站,日本店來台展店,Yes,大安,,,台北市大安區光復南路280巷49號,
阿吽亭日式拉麵專賣店,板南線,國父紀念館站,台灣人開店,,大安,,,台北市大安區延吉街131巷21號,
麵屋壹の穴 ICHI,板南線,國父紀念館站,台灣人開店,,大安,,,台北市大安區延吉街137巷22號,
森本家拉麵,"板南線,中和新蘆線",忠孝新生站,台灣人開店,,中正,,,台北市中正區忠孝東路二段134巷20號,
麵太郎居酒屋-濟南店,"板南線,中和新蘆線",忠孝新生站,台灣人開店,Yes,中正,,,台北市中正區濟南路二段48巷3號,
麵家三士-三創生活店,"板南線,中和新蘆線",忠孝新生站,日本店來台展店,Yes,中正,,,台北市中正區市民大道三段2號B2,
Nagi豚王拉麵-忠孝店,"板南線,文湖線",忠孝復興站,日本店來台展店,Yes,大安,,,台北市大安區大安路一段75巷5號,
Totto Ramen 鳥人拉麵,"板南線,文湖線",忠孝復興站,美國店來台展店,,大安,,,台北市大安區復興南路一段107巷5弄9號,
千歲軒拉麵,"板南線,文湖線",忠孝復興站,日本店來台展店,,大安,,,台北市大安區忠孝東路三段251巷7弄10號,
山頭火拉麵-SOGO復興1號店,"板南線,文湖線",忠孝復興站,日本店來台展店,Yes,大安,,,台北市大安區忠孝東路三段300號B2,
拉麵JAPAN,"板南線,文湖線",忠孝復興站,日本人來台開店,Yes,大安,"缺
二店時間
11:30-2pm,5pm-9pm",02-8771 9887,台北市大安區忠孝東路三段251巷3弄1號,https://www.google.com.tw/url?sa=t&rct=j&q=&esrc=s&source=web&cd=3&cad=rja&uact=8&ved=0ahUKEwifsIbv06_UAhWMW7wKHVrcCBgQFghFMAI&url=https%3A%2F%2Fzh-tw.facebook.com%2Fpages%2F%25E6%258B%2589%25E9%25BA%25B5Japan%2F212763792127676&usg=AFQjCNH2TLHiZk3YAcavAl5Yq21Zq5Gjpw
誠屋拉麵-市民店(原 麵通屋-市民大道店),"板南線,文湖線",忠孝復興站,日本店來台展店,Yes,松山,,,台北市松山區市民大道四段17號,
魂麵,"板南線,文湖線",忠孝復興站,日本店來台展店,,松山,,,台北市松山區復興南路一段39號B2,
樂麵屋-忠孝店,"板南線,文湖線",忠孝復興站,台灣至日本展店,Yes,大安,,,台北市大安區忠孝東路四段216巷32弄11號,
樂麵屋-南港中信店,"板南線,文湖線",南港展覽館站,台灣至日本展店,Yes,南港,,,台北市南港區經貿二路166號2樓,
OSHO拉麵,"板南線,文湖線",南港軟體園區站,台灣人開店,,南港,,,台北市南港區園區街6之3號,
Nagi豚王拉麵-西門店,"板南線,松山新店線",西門站,日本店來台展店,Yes,萬華,,,台北市萬華區漢中街52號6F,
大村武串燒居酒屋-西門店,"板南線,松山新店線",西門站,台灣人開店,Yes,萬華,,,台北市萬華區漢口街二段83巷2號,
居食屋「和民」-西門店,"板南線,松山新店線",西門站,日本店來台展店,Yes,萬華,,,台北市萬華區峨眉街37號3F,
花月嵐-西門武昌店,"板南線,松山新店線",西門站,日本店來台展店,Yes,萬華,,,台北市萬華區武昌街二段29號,
番樂屋拉麵-漢中二店,"板南線,松山新店線",西門站,台灣人開店,Yes,萬華,,,台北市萬華區漢中街106-2號,
番樂屋拉麵-漢中店,"板南線,松山新店線",西門站,台灣人開店,Yes,萬華,,,台北市萬華區漢中街49號,
熊本拉麵,"板南線,松山新店線",西門站,台灣人開店,,萬華,,,台北市萬華區武昌街二段53號2F,
福氣來和食-西門店,"板南線,松山新店線",西門站,台灣人開店,Yes,萬華,,,台北市萬華區昆明街106號,
樂麵屋-西門店,"板南線,松山新店線",西門站,台灣至日本展店,Yes,萬華,,,台北市萬華區昆明街25號,
Tsuta Taiwan,"板南線,淡水信義線",台北車站,日本店來台展店,,中正,,,台北市中正區忠孝西路一段36號,
一風堂-站前店,"板南線,淡水信義線",台北車站,日本店來台展店,Yes,中正,,,台北市中正區北平西路3號2F,
一碗拉麵-台北車站微風廣場店,"板南線,淡水信義線",台北車站,台灣人開店,Yes,中正,,,台北市中正區北平西路3號2F,
十三川日本拉麵定食,"板南線,淡水信義線",台北車站,台灣人開店,Yes,中正,,,台北市中正區懷寧街39號,
三田製麵所-站前店,"板南線,淡水信義線",台北車站,日本店來台展店,Yes,中正,,,台北市中正區北平西路3號2F,
山頭火拉麵-京站2號店,"板南線,淡水信義線",台北車站,日本店來台展店,Yes,大同,,,台北市大同區市民大道一段209號1F,
太陽蕃茄拉麵-台北車站店,"板南線,淡水信義線",台北車站,日本店來台展店,Yes,中正,,,台北市中正區忠孝西路一段38號B1,
屯京拉麵-台北站前店,"板南線,淡水信義線",台北車站,日本店來台展店,Yes,中正,,,台北市中正區忠孝西路一段38號B1,
世田谷拉麵-台北站前店,"板南線,淡水信義線",台北車站,日本店來台展店,Yes,中正,,,台北市中正區忠孝西路一段36號B1,
和民之家(原 居食屋「和民」-站前店),"板南線,淡水信義線",台北車站,日本店來台展店,Yes,中正,,,台北市中正區館前路6號2F,
松月和食拉麵-站前地下街店,"板南線,淡水信義線",台北車站,台灣人開店,Yes,中正,,,台北市中正區忠孝西路一段50-1號站前地下街12-1號,
哲麵-站前店,"板南線,淡水信義線",台北車站,日本店來台展店,Yes,中正,,,台北市中正區開封街一段20號,
神川日本拉麵-公園店,"板南線,淡水信義線",台北車站,台灣人開店,Yes,中正,,,台北市中正區公園路18號2F,
高湯屋,"板南線,淡水信義線",台北車站,台灣人開店,,大同,,,台北市大同區市民大道一段100號站前地下街,
鬼金棒沾麵,"板南線,淡水信義線",中山站,日本店來台展店,Yes,中山,"12:00–14:00, 17:00–21:00；六日12:00–21:00",無,台北市中山區中山北路一段92號,https://www.facebook.com/kikanbotw/
博多一幸舍-台北車站店,"板南線,淡水信義線",台北車站,日本店來台展店,Yes,中正,,,台北市中正區許昌街30號2F,
誠屋拉麵-京站店,"板南線,淡水信義線",台北車站,日本店來台展店,Yes,大同,,,台北市大同區承德路一段1號B3,
福氣來和食-台北1店,"板南線,淡水信義線",台北車站,台灣人開店,Yes,大同,,,台北市大同區市民大道一段100號站前地下街,
福氣來和食-信陽店,"板南線,淡水信義線",台北車站,台灣人開店,Yes,中正,,,台北市中正區信陽街11號,
福氣來和食-站前1店,"板南線,淡水信義線",台北車站,台灣人開店,Yes,中正,,,台北市中正區忠孝西路一段50-1號站前地下街,
銀座拉麵,"板南線,淡水信義線",台北車站,台灣人開店,Yes,中正,,,台北市中正區南陽街4號2F,
樂麵屋-站前店,"板南線,淡水信義線",台北車站,台灣至日本展店,Yes,中正,,,台北市中正區懷寧街17號,
九湯屋日式拉麵-士林店,淡水信義線,士林站,台灣人開店,Yes,士林,,,台北市士林區大西路24號,
大村武串燒居酒屋-士林店,淡水信義線,士林站,台灣人開店,Yes,士林,,,台北市士林區基河路255號,
百八龍自家製麵ラーメン,淡水信義線,士林站,台灣人開店,,士林,,,台北市士林區大東路133號,
居食屋「和民」-士林店,淡水信義線,士林站,日本店來台展店,Yes,士林,,,台北市士林區中正路115號,
大安森林食堂,淡水信義線,大安森林公園站,日本店來台展店,,大安,,,台北市大安區新生南路一段161-3號,
九州食堂ハラペコ,淡水信義線,中山站,日本店來台展店,,中山,,,台北市中山區南京東路一段42號,
屯京拉麵-中山店,淡水信義線,中山站,日本店來台展店,Yes,中山,,,台北市中山區中山北路一段141號,
花月嵐-南西新光店,淡水信義線,中山站,日本店來台展店,Yes,中山,,,台北市中山區南京西路12號B2,
鬼金棒拉麵,淡水信義線,中山站,日本店來台展店,Yes,中山,"11:30–14:00, 17:00–21:30；六日11:30–21:30；週二休",無,台北市中山區長安西路19巷2弄35號,https://www.facebook.com/kikanbotw/
勝王,淡水信義線,中山站,台灣人開店,,中山,,,台北市中山區長安西路19巷2弄35號,
麵屋一燈,淡水信義線,中山站,日本店來台展店,Yes,中山,,,台北市中山區南京東路一段29號,
麵屋武藏 神山,淡水信義線,中山站,日本店來台展店,Yes,中山,,,台北市中山區中山北路一段121巷18號,
鷹流東京醬油拉麵 蘭丸二店,淡水信義線,中山站,日本店來台展店,Yes,大同,,,台北市大同區南京西路18巷6-3號,
鐘村拉麵,淡水信義線,中正紀念堂站,台灣人開店,,中正,,,台北市中正區南昌路一段45號,
九湯屋日式拉麵-北投店,淡水信義線,北投站,台灣人開店,Yes,北投,,,台北市北投區中央北路一段206號,
大竹屋日式家庭料理,淡水信義線,北投站,台灣人開店,,北投,,,台北市北投區中央南路一段134號,
樂山窄巷拉麵,淡水信義線,北投站,台灣人開店,,北投,,,台北市北投區大同街27號,
赤坂拉麵-重慶店,淡水信義線,台大醫院站,日本店來台展店,Yes,中正,,,台北市中正區重慶南路一段92號,
長崎煮麵,淡水信義線,台大醫院站,台灣人開店,Yes,中正,,,台北市中正區南陽街21-5號,
九湯屋日式拉麵-信義店,淡水信義線,台北101/世貿站,台灣人開店,Yes,信義,,,台北市信義區莊敬路325巷5號,
錦拉麵,淡水信義線,台北101/世貿站,日本店來台展店,Yes,信義,,,台北市信義區信義路五段7號B1,
神座拉麵-石牌店,淡水信義線,石牌站,台灣人開店,Yes,北投,,,台北市北投區裕民三路7號,
山頭火拉麵-天母SOGO店,淡水信義線,芝山站,日本店來台展店,Yes,士林,,,台北市士林區中山北路六段77號8F,
拉拉麵,淡水信義線,芝山站,台灣人開店,Yes,士林,,,台北市士林區德行東路159號,
倉田日本料理,淡水信義線,芝山站,台灣人開店,,士林,,,台北市士林區德行東路159號,
御之饌日式料理-天母店,淡水信義線,芝山站,台灣人開店,Yes,士林,,,台北市士林區德行西路47號2F,
喰道樂別館,淡水信義線,芝山站,日本人來台開店,,士林,,,台北市士林區文林路740巷11號,
熱烈一番亭-天母SOGO店,淡水信義線,芝山站,日本店來台展店,Yes,士林,,,台北市士林區中山北路六段77號8F,
九湯屋日式拉麵-通化店,淡水信義線,信義安和站,台灣人開店,Yes,大安,,,台北市大安區通化街38巷14號,
惠比須麵屋,淡水信義線,信義安和站,台灣人開店,,大安,,,台北市大安區光復南路570號1樓,
雞二拉麵,淡水信義線,信義安和站,台灣人開店,,大安,,,台北市大安區文昌街30號,
小公主拉麵道,淡水信義線,象山站,台灣人開店,,信義,,,台北市信義區松仁路188號2F,
北海道えびそば一幻,淡水信義線,象山站,日本店來台展店,,信義,,,台北市信義區松仁路86號,
日本拉麵屋,淡水信義線,新北投站,台灣人開店,,北投,,,台北市北投區中和街303號,
滿來溫泉拉麵,淡水信義線,新北投站,台灣人開店,,北投,,,台北市北投區中山路1-8號,
品味拉麵,淡水信義線,劍潭站,台灣人開店,,士林,,,台北市士林區前港路32號,
宮內屋,淡水信義線,劍潭站,台灣人開店,,士林,,,台北市士林區通河街143號,
道樂屋台,淡水信義線,劍潭站,台灣人開店,,士林,,,台北市士林區基河路108號,
不二家拉麵居酒屋,淡水信義線,雙連站,台灣人開店,,中山,,,台北市中山區中山北路二段59巷10號,
