name,提供調酒,提供精釀啤酒,提供生啤,暢飲店,官網,電話,營業時間,所在縣市,地址
"Alpha Bar-精釀啤酒專賣",No,Yes,Yes,No,https://www.facebook.com/AlphaBarTaoyuan/,03-3583748,18:00~02:00,taoyuan,桃園市桃園區大業路一段304號
太古taikoo,,,,,https://www.facebook.com/taikoo94/,,,tainan,台南市中西區神農街94號
"Beluga Restaurant & Bar",,,,,https://www.facebook.com/BelugaTaiwan/,,,taichung,台中市西屯區上安北街36號
"Rico Padre 老子有錢",,,,,https://www.facebook.com/s88957/,,,taichung,台中市西屯區馬龍潭路119號
"準備中 x Taichung",,,,,https://www.facebook.com/PREPARINGxTaichung/,,,taichung,台中市南屯區大容西街3號1樓
"舟舟 / Chu Chu Bar",,,,,https://www.facebook.com/ChuChuBarTC/,,,taichung,台中市西區精誠一街4號
"Art Anew gallery & cafe",,,,,https://www.facebook.com/aNew.Art/,,,taichung,台中市西區精誠五街32號
"Bar Dān",,,,,https://www.facebook.com/2bitters/,,,taichung,台中市精誠八街1號
"ISMAN 男士情報局",,,,,https://www.facebook.com/isman.tw/,,,taichung,台中市西屯區台灣大道二段731號
"Ruler Bar",,,,,https://www.facebook.com/rulerbar.tc/,"04 2312 2979",,taichung,臺中市西屯區臺灣大道三段38號
"啜飲室 Landmark",,Yes,,,,,,taipei,台北市信義區忠孝東路五段68號
Bistro121,Yes,Yes,Yes,No,https://www.facebook.com/bistro0121/,03-3316019,18:00~02:00,taoyuan,桃園市桃園區民光路121號
"KC Cigar Bar Tainan",Yes,Yes,No,No,https://www.facebook.com/kccigarbar/,06-2908439,"19:00-02:00 (星期一公休)",tainan,台南市東區中華東路三段380巷54號
"和平咖啡館 Peace Café",Yes,No,No,No,https://www.facebook.com/pages/和平咖啡館-Peace-Café/334648593379137,03-4254248,17:00~02:00,taoyuan,桃園市中壢區興國路8號2樓
"Long Bar 長吧",Yes,No,Yes,No,https://www.facebook.com/tainan.longbar/,"06 222 9503","21:00 - 3:30",tainan,台南市中西區永福路2段185號
"Echo Bistro",Yes,Yes,Yes,No,www.facebook.com/Echobistro,29299191,17:30~00:30,taipei,新
"榕 RON Bar",Yes,Yes,No,No,,"02 2883 6883","星期一~四16:00-3:00 星期五~六16:00-4:00 星期日16:00-3:00",taipei,台北市台北市士林區中山北路五段461巷21號1F
萬昌起義,Yes,Yes,No,No,https://www.facebook.com/wanchang.bar/?__tn__=kC-R&eid=ARDAHkA3VMGkTj06XF8bUVuQnm1Js651gNf6LNgrbi-w0SpGpN3Sf9TYxjHgdmNQkbjWW-nsDtABO3wc&hc_ref=ARQ9Mz4q7LJumJm4XLzQqroHSzo6qzRWHrl2HNnSs-3ChM7-xEQ8quqGpDjwtbQSpFg,062221455,"20:00 - 3:00",tainan,台南市中西區民族路二段57巷5號
"小酌FEWdrink 精釀啤酒bar",No,Yes,No,No,https://www.facebook.com/FEWdrink/,072366656,"17:00 - 2:00；週二定休",kaohsiung,高雄市興華路52-6號
"小酒居 Bar Little George",Yes,Yes,No,No,https://www.facebook.com/%E5%B0%8F%E9%85%92%E5%B1%85-Bar-Little-George-550314375395339,062149111,"21:00 - 2:00；週一定休",tainan,台南市中西區建業街70號
掌門精釀啤酒-台南東豐店,No,Yes,Yes,No,https://www.facebook.com/ZHANGMEN.TAINAN/,062085678,"16:00 - 00:00",tainan,台南市北區東豐路257號
"Beer in Vogue 潮玩啤精釀啤酒專賣店",No,Yes,Yes,No,https://www.facebook.com/beerinvogue/,"06 209 2695","16:00 - 00:00",tainan,台南市東區裕農路13號
"Alen's ___",Yes,Yes,No,No,https://www.facebook.com/alensbistro/,0927935621,"17:00 - 1:00；不定休",tainan,台南市歸仁區中正北路ㄧ段232-1號
"bar mozaiku - 馬賽克酒吧",Yes,No,No,No,https://www.facebook.com/BarMozaiku/,"06 222 3098","20:00 - 3:00",tainan,台南市國華街4段5巷10號
"還在想 thinking bar",Yes,No,No,No,https://www.facebook.com/mayday7676/,,"20:00 - 3:00",tainan,台南市中西區新美街75號之1
"BAR YI MENG 一萌酒吧",Yes,No,No,No,https://www.facebook.com/BAR-YI-MENG-%E4%B8%80%E8%90%8C%E9%85%92%E5%90%A7-350754845342527/,062230961,"20:00 - 3:00；週一定休",tainan,台南市永福路二段227巷35號
"新馬里布 New Malibu Bar",Yes,,,,https://www.facebook.com/新馬里布-New-Malibu-Bar-159173147877849,062379456,"21:00 - 4:00",tainan,台南市衛民街18號
"Long Light Bar",Yes,No,Yes,No,https://www.facebook.com/LongLightBar/,062219896,"20:00 - 3:00",tainan,台南市中西區新美街71號
"The Villa",Yes,No,No,No,,27375353,6:00pm-2:00pm,taipei,台北市大安區樂利路11巷30號
"bar 21 廿一酒吧",Yes,No,No,No,http://www.hotelroyal.com.tw/tainan/dining.aspx?NO=1151,062361680#253,"18:00 - 1:00",tainan,台南市中華東路一段368號5樓
"Simple plan 咖啡小酒館",Yes,No,Yes,Yes,https://www.facebook.com/Simpleplancafeclub/,062233129,"18:00 - 2:00；週一定休",tainan,台南市中西區民生路一段186號
TCRC,Yes,No,No,No,https://www.facebook.com/TCRCbar/,,"20:00 - 2:00；週日定休；19：00開始現場劃位",tainan,台南市中西區新美街117號
"Bar B&B",Yes,No,No,No,https://www.facebook.com/bittersbarrel/,NA,"21:00 - 2:00",tainan,台南市中西區西門路一段703巷6-1號
"The Shack Bar&Grill Tainan",Yes,No,Yes,No,https://www.facebook.com/theshackbargrilltainan,062080810,"20:00 - 2:00；週二定休",tainan,台南市東區衛民街18號
"VIXIV 六 · 十四俱樂部",Yes,No,No,No,https://www.facebook.com/VIXIV614,062087524,"21:00 - 3:00",tainan,台南市東門路二段365巷13號
"月下獨酌 Infusion Room",Yes,No,No,No,https://www.instagram.com/bar_infusion_room/,062219380,"15:00 - 上午2:00",tainan,台南市中西區民生路二段69號（後棟）
台灣精釀啤酒專賣所,No,Yes,No,No,https://www.facebook.com/HYbeerTaiwan/,"03 954 6998","18:00 - 22:00",yilan,"265 宜蘭縣羅東鎮民生路162號"
樹下Undertree,Yes,Yes,Yes,No,,02-2629-4166,19:30-02:00,taipei,新北市淡水區北新路182巷20號
"Inn Bistro",Yes,Yes,Yes,No,https://www.facebook.com/innbistro/,"07 288 2998",2000-0300,kaohsiung,高雄市前金區六合二路128號
"The Fridge Bar",Yes,Yes,Yes,No,https://www.facebook.com/thefridgebar/,"02 2775 3068",1900-0200（週日未營業）,taipei,台北市延吉街101號
"Eleven Beer House",No,Yes,,,https://www.facebook.com/elevenbeerhouse/,,,taipei,台北市大安區羅斯福路三段283巷36號
"啤魯麋鹿 Beer&Deer",No,Yes,No,No,https://www.facebook.com/beerndeer/,,,taipei,台北市松山區民生東路五段36巷4弄49-1號
"Unknown Lounge bar",,,,,https://www.facebook.com/UnknownLounge/,,,taipei,台北市敦化南路一段177巷10號B1
"Mase Mase 喝酒專門店",Yes,Yes,Yes,,,0287728468,0730～0200,taipei,台北市八德路二段300巷38號
"Odin bistro",Yes,No,Yes,No,https://www.google.com.tw/url?sa=t&source=web&rct=j&url=https://m.facebook.com/odindarts/%3Flocale2%3Dzh_TW&ved=2ahUKEwiqvf2SvZ3dAhXGEbwKHYY4B1MQjjgwH3oECAcQAQ&usg=AOvVaw0srSoSr8YM8YA2iGbvYDMI,0228828666,1900～0300,taipei,台北市士林區大東路152號
"Playing hookah bar",Yes,Yes,No,No,,0227495495,15:00~01:00,taipei,台北市信義區基隆路一段101巷15號
SMEXY,Yes,,,,https://www.facebook.com/smexylifestyle/,"02 2717 6626",10:30–01:00,taipei,台北市松山區民生東路三段131號
Marquee,,,,,https://www.facebook.com/marqueetaipei/,"02 2729 5409",20:00–02:00,taipei,台北市信義區信義路五段16-1號
"MOD Public Bar",Yes,Yes,Yes,No,https://www.facebook.com/MoDPublicBar/?rf=201778819838531,"02 2731 4221",19:00–03:00,taipei,台北市大安區仁愛路四段345巷4弄40號
"Closet Restaurant & Bar",,,,,https://www.facebook.com/pages/category/Bar/Closet-Restaurant-Bar-144736812566803/,"02 2731 7919",18:00–02:00,taipei,台北市大安區忠孝東路四段101巷15號
"WA-SHU 和酒",,,,,,"02 2771 4240",,taipei,台北市大安區忠孝東路四段101巷39號
"NOX Taipei",,,,,https://www.facebook.com/NOX-Taipei-206869639352459/,"02 2732 5826",21:00–03:00,taipei,台北市大安區安和路二段71巷7號
"WOOTP 窩台北  Baristro",,,,,https://www.facebook.com/WOOLIFE.WOOTP/,"02 8771 9813",14:00–02:00,taipei,台北市大安區忠孝東路四段205巷39-1號
"R&D Cocktail Lab",Yes,,,,https://www.facebook.com/rdtaipei/,,,taipei,台北市大安區嘉興街36號
"INDULGE Bistro",,,,,,"02 2773 0080",18:00–02:00,taipei,台北市大安區復興南路一段219巷11號
"Nep. Lounge Bar",Yes,,,,https://www.facebook.com/nep6363/,"02 2521 0069",19:30–03:00，週日公休,taipei,台北市中山區天津街63號
"那裏 Elsewhere",,,,,,,,taipei,台北市大安區光復南路200巷7號
"Continue? Gaming Bar",Yes,Yes,Yes,No,https://www.facebook.com/continuegamingbar/,"02 25098887",18:00~01:00,taipei,台北市中山區松江路7號
"Bremen 不來梅",Yes,,,,,,,taipei,淡水區水源街二段56號二樓
"BAR PUN",Yes,,,,,,,taipei,台北市大安區信義路四段378巷5號
Sidebar·Cafe,Yes,,,,,,,taipei,台北市文昌街275號一樓
"Bar Between",Yes,,,,,,,taipei,台北市大安區光復南路456巷27-2號
"Needle Drinks",Yes,Yes,No,No,https://www.facebook.com/needledrinks/,02-27078831,週二到週日，下午一點～凌晨一點,taipei,台北市大安區文昌街125號
Mimique秘密客,,,,,,,,taipei,台北市大安區八德路二段371號2樓
"Mud Bar",,,,,,,,taipei,台北市中山區中山北路二段57-1號B1
"Bar 小谷",,,,,,,,taipei,台北市中山北路一段83巷5-1號
"Prozac 百憂解",Yes,Yes,Yes,,,,,taipei,復興南路二段309號
BOBWUNDAYE,Yes,Yes,,,,,,taipei,和平東路三段77號
Intention,Yes,Yes,Yes,,,,,taipei,
"防空洞 Bomb Shelter",Yes,No,Yes,No,,,,taipei,台北站中山區大直街52巷26號
"Miss Strega女巫咖啡酒吧",Yes,Yes,No,No,https://m.facebook.com/missstregastrega/,02-23218590,"週ㄧ-週日15:00-24:00 ，週二公休",taipei,台北市中正區新生南路一段54巷12號
"Stunner Bar Taipei",Yes,No,Yes,No,https://www.facebook.com/Stunner-Taipei-1607974789300121/,"02 2586 9909",17:00～03:00,taipei,台北市中山區中山北路三段1號2樓
"Bar春花（The Primrose）",,,,,https://www.facebook.com/theprimrosebar/,,,taipei,台北市中正區新生南路一段56巷8號
"MG Cafe & bar",Yes,No,No,No,,,,taipei,
"Bar M",,,,,https://www.facebook.com/cafebar.m/,,,taipei,台北市中正區羅斯福路二段20號
"Bistro O",Yes,Yes,,,,,,taipei,台北市師大路49巷3號2樓
河邊春夢,Yes,Yes,Yes,,,,,taipei,淡水區公明街56巷10號2樓
"Crafted TW",,Yes,Yes,,,,,taipei,台北市福華路141巷18號1樓
"The Shrine Taipei",Yes,Yes,Yes,,,,12:00-02:00,taipei,台北市師大路132號
"23 Public",Yes,Yes,No,No,,"02 2891 6374",17:00-02:00,taipei,112台北市北投區七星街2號
"50/45 Winehaus",No,Yes,No,No,https://m.facebook.com/50.45winehaus/,0285020887,"14:00 - 23:30 週日公休",taipei,台北市樂群二路178號
"Trio bitters",Yes,No,No,No,,02-23584988,週一到週四17:00～01:00；週五17:00～02:00；週六13:00～02:00；週日13:00～01:00,taipei,台北市中正區忠孝東路二段64巷4號
Trio三重奏,Yes,Yes,No,No,,02-27038706,18:00～00:00,taipei,台北市大安區敦化南路二段63巷54弄12號1樓
左輪,Yes,Yes,Yes,No,,0233931678,18:30-03:00,taipei,100台北市中正區羅斯福路一段1-2號
Woolloomooloo,Yes,Yes,No,No,,（02）87890128,7:30-1:00,taipei,台北市信義區信義路379號
"台北酒驛 Turnout Taipei",Yes,Yes,Yes,No,https://www.facebook.com/Turnout.Taipei/,"02 2500 6591",1800-0200,taipei,台北市南京東路二段138巷7號
"Chill bistro&cafe",Yes,Yes,Yes,Yes,,27666696,11～2400,taipei,台北市南京東路5段23巷6弄8號
啤啤精釀啤酒屋,No,Yes,Yes,No,https://goo.gl/72zVnL,02-2741-7586,17:00–00:00,taipei,台北市大安區敦化南路一段160巷39號
"Lazy Point Restaurant & Bar",Yes,No,No,No,https://www.facebook.com/lazypointtpe/,02-8751-5509,平日11:30–00:00、假日11:30–02:00,taipei,台北市內湖區洲子街78號
"榕 RON Xinyi",Yes,Yes,Yes,No,https://www.roncafebar.com/,"02 2720 0026",,taipei,110台北市信義區基隆路二段12號
OriginBAR源,Yes,Yes,No,No,https://m.facebook.com/originbartw/,0225475817,18：00～01：00,taipei,台北市松山區南京東路四段133巷5弄31號
"23 Music Room",Yes,Yes,Yes,No,https://www.facebook.com/23MusicRoom,0925209182,"Mon/Wed/Thur: 17:00-00:00, Fri/Sat: 17:00-late, Sun: 14:00-21:00, Tue: Closed.",taipei,"104 台北市 中山區玉門街1號（花博園區內 Maji 2 市集第18號店）"
"漫高三明治 mountkao sandwich shop",No,Yes,Yes,No,https://m.facebook.com/mountkaosandwichshop/?locale2=zh_TW,02-2755-3863,"星期一 公休 星期二～星期五  11:30～22:00 星期六日 10:30～22:00",taipei,台北市大安區和平東路二段175巷35號1樓
"Duo Taipei",Yes,No,No,No,https://www.facebook.com/DuoTaipei/,"0919 299 611","週日～週四 19:30~04:00 週五～週六 19:30~06:00",taipei,台北市大安區大安路一段19巷33號
"Bar Mood Taipei 吧沐",Yes,No,No,No,https://www.facebook.com/barmoodtaipei/,"0905 773 621","週日～週四 18:00~01:00 週五～週六 18:00~02:00",taipei,台北市大安區敦化南路一段160巷53號
"小後苑 Backyard Jr.",Yes,Yes,Yes,No,https://www.facebook.com/backyardjr/,"02 2722 0353","11:00 - 2:00",taipei,"110台北市信義區松壽路9號,3F"
"後院，Larriere-cour ，威士忌博物館",Yes,Yes,Yes,No,https://www.facebook.com/pg/Larrierecour/about/?ref=page_internal,"02 2704 7818",19:00~03:00,taipei,安和路2段23巷4號
"好啤氣Temper beer",Yes,Yes,Yes,No,FB:好啤氣,0222345653,1630-0100,taipei,文山區新光路一段22號
"ChangeX Beer Taipei",No,Yes,Yes,No,,(02)8772-2477,1900-0100,taipei,台北市大安區延吉街131巷26號地下室
"麥芽堂精釀 My Yacht Taproom & Co.",No,Yes,Yes,No,https://www.facebook.com/myyachttaproom/,02-2746-5024,"平日	 14:00–23:30、假日	 14:00–00:00",taipei,台北市信義區忠孝東路四段553巷22弄4-1號
