name,粉專網址,下單網址,地址
"私藏小巷 自家焙煎咖啡工作室",https://www.facebook.com/possession.alley.cafe/,https://docs.google.com/forms/d/1hH73ufGrl1aIqCKHSOLV4z9BnvWdxAKoP59Wrdlih7U/viewform?edit_requested=true,台中市豐原區同安街49巷6號
"怪咖啡 自家烘焙",https://www.facebook.com/strangebrewcoffeeroaster?ref=bookmarks,https://shopee.tw/sbcr2015,
"Café S 自家咖啡焙煎工作室",https://line.me/R/ti/p/%40zse6251m,"http://mseller.pcstore.com.tw/S179881547 ",
"HOLD COFFEE 好的咖啡",https://www.facebook.com/HOLD-%E5%A5%BD%E7%9A%84-%E6%89%8B%E7%83%98%E5%92%96%E5%95%A1-1404807926454707/,https://www.holdcafe.com/,
小南風咖啡,https://www.facebook.com/minamizephyr/,https://shopee.tw/minami1124,台北市大安區師大路68巷9號
龜咖啡烘焙工作室,https://www.facebook.com/tortoise.coffee.roasters,http://www.tortoise-coffee.tw,
"平安居咖啡民宿 x GK Coffee",https://www.facebook.com/gkcoffee2015/,,宜蘭縣冬山鄉廣安村復興路166號
星河咖啡,https://www.facebook.com/galaxycoffeetw/,https://goo.gl/gFFB9v,新北市新莊區中和街60巷17號
"Akatsuki 曉咖啡",https://facebook.com/akatsukicoffee/,http://akatsuki.qdm.com.tw/,台南市中西區忠義路一段84巷6弄2號
好野咖啡,https://www.facebook.com/iHoyaCoffee/,https://shopee.tw/horyar,桃園市中壢區美樂路76號
松鼎精品咖啡,https://www.facebook.com/SuntripCoffee/?ref=tn_tnmn,https://www.facebook.com/SuntripCoffee/inbox/?selected_item_id,桃園市中壢區中山路59號
貝勒拉芙咖啡,https://www.facebook.com/bear.love.cafe/,https://m.ruten.com.tw/goods/show.php?g=21530191493895,
小熊苦味堂,https://zh-tw.facebook.com/knutkaffee/,https://knutkaffee.waca.ec/,
爆豆豆咖啡鮮焙屋,https://www.facebook.com/bbbb.coffee/,https://www.facebook.com/bbbb.coffee/,
咖啡調進所,https://www.facebook.com/kaffee.collection/,https://www.facebook.com/kaffee.collection/,新北市板橋區吳鳳路50巷42弄20號
老譚咖啡,http://class.ruten.com.tw/user/about.php?s=bradytan3500,http://class.ruten.com.tw/user/index00.php?s=bradytan3500,
紅澤咖啡豆販,https://zh-tw.facebook.com/caferedbean/,http://class.ruten.com.tw/user/index00.php?s=redbeancafe,
卡爾地咖啡館,https://www.facebook.com/%E5%8D%A1%E7%88%BE%E5%9C%B0%E5%92%96%E5%95%A1%E9%A4%A8-190102937702808/,https://shopee.tw/shop/8020370/,桃園市桃園區大華五街27號
"KAKAMA Coffee",https://www.facebook.com/coffee.kakama,http://kakalu.pixnet.net/blog,
綠石咖啡,,,
UPON咖啡豆專賣店,http://www.facebook.com.tw/upon.tw,www.uponcoffee.com.tw,
甜心屋,,https://store9169427.ecwid.com/#,"新北市新莊區民安路33號 [近丹鳳捷運站2號出口]"
昀頂咖啡,https://www.facebook.com/coolandy0402/,http://www.webdo.cc/coolandy0402/,宜蘭市文化路11號
"Pergram coffee ",https://facebook.com/pergramcoffee,https://www.pergramcoffee.com,
井井,https://www.facebook.com/%E4%BA%95%E4%BA%95-294605067379718/,http://seller.pcstore.com.tw/S104102087/,新竹市新源街136號
嘖咖啡,www.facebook.com/zezecoffee,www.facebook.com/zezecoffee,台北市南港區南港路三段78號
牧羊人咖啡,https://m.facebook.com/sia760120/,http://m.pcstore.com.tw/S126759528/,嘉義縣民雄鄉福樂村光明路43之50號
禕墨自家烘焙咖啡館,https://www.facebook.com/yimocoffee/,https://goo.gl/t7TEtz,新北市中和區和平街92號
"Free Will啡嚐自由",https://www.facebook.com/Free-Will%E5%95%A1%E5%9A%90%E8%87%AA%E7%94%B1-431925970499757/,http://seller.pcstore.com.tw/S123383783,彰化市雲長路95號
怪豆咖啡,https://www.facebook.com/ODDO.COFFEE/,https://docs.google.com/forms/d/e/1FAIpQLSe8j7oPSP8imuR_bvf5VgMiw1Rzx9dwPJhueG6JJqaelitwQA/viewform,台東市更生路504號
零極限咖啡,https://m.facebook.com/零極限-coffee-422987594702910/,https://m.facebook.com/零極限-coffee-422987594702910/,
苗栗苑裡經典咖啡,http://cafemay.myweb.hinet.net,,苗栗縣苑裡鎮南興路76號
Alex的陶烘咖啡坊,https://www.facebook.com/groups/448591342168824/,http://seller.pcstore.com.tw/S101490126/?c=000754105477&cn=%E5%92%96%E5%95%A1,
"Qsion coffee",https://m.facebook.com/Qsioncoffee,https://shopee.tw/qsioncoffee,台北市士林區
福璟咖啡,https://www.facebook.com/fujincoffeebanciao/,http://www.fujincoffee.com.tw/mobile/website_module_detail.php?website_module_classify_sn=100,新北市板橋區民族路21號
PunctumKaffe,https://www.facebook.com/PunctumKaffe/,每個月不定期開團，需要追蹤粉絲專頁,台北(無對外開放)
Fumi福咪自家烘焙,https://www.facebook.com/fumicafe035586631,http://www.fumicafe.com/,竹北市文義街245號
"St.1 Cafe' / Work Room 一街咖啡",https://www.facebook.com/pg/st1cafe/about/?ref=page_internal,https://www.facebook.com/pg/st1cafe/about/?ref=page_internal," 台南市永康區大橋一街328號"
秋聚咖啡,https://www.facebook.com/CHOOGKAFE/,https://www.facebook.com/CHOOGKAFE/,高雄市前鎮區凱旋四路788號9號倉庫
織夢咖啡,https://www.facebook.com/592487871114234/posts/631330143896673/,,彰化縣鹿港鎮鹿草路四段357號
鬼才咖啡烘焙坊,https://www.facebook.com/G.T.Roaster,http://goo.gl/J84C1e,"經銷點 安提斯咖啡廳（板橋區國慶路149巷13弄14號）"
法樂法拉咖啡烘焙所,https://www.facebook.com/Farfalle88/,"0939722778加入line ID",桃園市桃園區
"The Antique cave古物 咖啡",https://www.facebook.com/pg/TheAntiqueCave/posts/,https://www.facebook.com/pg/TheAntiqueCave/posts/,板橋區國慶路149巷13弄14號
虎記商行,https://www.facebook.com/tigerdrinks/,https://shopee.tw/alexhan.tw,台北市中正區寧波東街1-1號
蘿亞咖啡專業門市,https://www.facebook.com/royalcoffee.life/,https://www.facebook.com/royalcoffee.life/,新北市三峽區國學街18號
卡卡5號精品咖啡館,https://www.facebook.com/%E5%8D%A1%E5%8D%A15%E8%99%9F%E7%B2%BE%E5%93%81%E5%92%96%E5%95%A1-1544709315762716/,採私訊方式,屏東市正義巷3之1號
mojocoffee,https://www.facebook.com/The-Factory-Mojocoffee-272695802751148/,https://www.mojocoffee.com.tw/all_list.php,台中市西區精誠六街22號
" 初咖啡－The Origin Coffee Roaster",https://www.facebook.com/theorigincoffee/,https://www.facebook.com/theorigincoffee/,嘉義市力行街15號
享啡屋,https://www.facebook.com/1enjoycoffeeshop/,https://shopee.tw/smallyyduck,
"Kanoma 喫茶咖の間",https://www.facebook.com/kissakanoma/,https://shopee.tw/kaikai0317,
"coffee sweet",,,台北市中山區中山北路一段33巷20弄3號
匠.kaffa精品咖啡工坊,https://m.facebook.com/Tk.kaffa/?notif_t=page_fan_growth_drop&notif_id=1537371224710169&ref=bookmarks,https://m.facebook.com/Tk.kaffa/?notif_t=page_fan_growth_drop&notif_id=1537371224710169&ref=bookmarks,屏東市武林街42-1號
小紅帽咖啡,https://www.facebook.com/juliusmeinlcafedaan/,http://www.meinlcoffee.com.tw/,台北市大安區大安路一段170號之一
綵豐咖啡鋪,https://m.facebook.com/fengcoffee/?ref=bookmarks,https://m.facebook.com/fengcoffee/?ref=bookmarks,220新北市板橋區大明街20巷19弄14號
雅柏咖啡,https://arporco.com/,,新北市新店區寶中路86號6樓
"Buon Caffe 步昂咖啡",https://www.facebook.com/pg/BuonCaffeTW/reviews/,https://www.buoncaffe.com.tw/,
賣私咖啡,https://www.facebook.com/mys.coffeeroast/,https://flymaskman.easy.co/?fbclid=IwAR0XpgV8LB_gEUFDvb7tNBBmfIyP9DGV56TG4-NjoI3L2PUkkcICG87HLGI,嘉義市東區吳鳳南路15號
小野珈琲烘焙坊,https://www.facebook.com/bestcoffeetime/,http://seller.pcstore.com.tw/S144977003,台南市東區崇善二街74號
喬茵咖啡EnjoyingCoffee,https://www.facebook.com/enjoyingcoffee.cafe/,https://www.facebook.com/enjoyingcoffee.cafe/,"234 新北市永和區竹林路201巷1號"
愚工咖啡焙制所,https://www.facebook.com/u.gon.coffee,https://goo.gl/forms/byEZ5E6VwUd38ejY2,新北市林口區中山路582號2樓
小眼睛．手作．咖啡館,https://www.facebook.com/Smalleyescafe/,,宜蘭縣員山鄉枕山村坡城路5-5號
果樹市集,,https://shopee.tw/chiliandcoffe,台中市太平區
樹男咖啡。TreemanCafe,https://www.facebook.com/TreemanCoffee/,https://treemancafe.qdm.com.tw/?fbclid=IwAR0QLZmr2OH62Qo3kBue3QTt7hXt26r5nmh5d-K_BW0FREzio-luVqJUAPQ,"25160 新北市 新北市淡水區民生路52巷8號 (近馬偕醫院舊棟)"
